id,location_name,location_latitude,location_longitude
1,Jurong East,1.333207,103.742308
2,Bukit Batok,1.349069,103.749596
3,Bukit Gombak,1.359043,103.751863
4,Choa Chu Kang,1.385417,103.744316
5,Yew Tee,1.397383,103.747523
6,Kranji,1.425302,103.762049
7,Marsiling,1.432579,103.77415
8,Woodlands,1.436984,103.786406
9,Admiralty,1.436984,103.786406
10,Sembawang,1.449133,103.82006
11,Yishun,1.429666,103.835044
12,Khatib,1.417423,103.832995
13,Yio Chu Kang,1.381765,103.844923
14,Ang Mo Kio,1.370025,103.849588
15,Bishan,1.35092,103.848206
16,Braddell,1.34055,103.847098
17,Toa Payoh,1.332405,103.847436
18,Novena,1.320089,103.843405
19,Newton,1.31383,103.838021
20,Orchard,1.304041,103.831792
21,Somerset,1.300508,103.838428
22,Dhoby Ghaut,1.299169,103.845799
23,City Hall,1.293119,103.852089
24,Raffles Place,1.284001,103.85155
25,Marina Bay,1.276481,103.854598
26,Marina South Pier,1.271422,103.863581
27,Tuas Link,1.340371,103.636866
28,Tuas West Road,1.330075,103.639636
29,Tuas Crescent,1.321091,103.649075
30,Gul Circle,1.319809,103.66083
31,Joo Koon,1.327826,103.678318
32,Pioneer,1.337645,103.69742
33,Boon Lay,1.33862,103.705817
34,Lakeside,1.344264,103.720797
35,Chinese Garden,1.342436,103.732582
36,Clementi,1.314925,103.765341
37,Dover,1.311414,103.778596
38,Buona Vista,1.307337,103.790046
39,Commonwealth,1.302439,103.798326
40,Queenstown,1.294867,103.805902
41,Redhill,1.289674,103.816787
42,Tiong Bahru,1.286555,103.826956
43,Outram Park,1.280319,103.839459
44,Tanjong Pagar,1.276385,103.846771
45,Bugis,1.300747,103.855873
46,Lavender,1.307577,103.863155
47,Kallang,1.311532,103.871372
48,Aljunied,1.316474,103.882762
49,Paya Lebar,1.318214,103.893133
50,Eunos,1.319809,103.902888
51,Kembangan,1.320998,103.913433
52,Bedok,1.324043,103.930205
53,Tanah Merah,1.327309,103.946479
